id_student,code_module,code_presentation,clicks_week1,clicks_week2,clicks_week3,click_trend,days_since_last_click,assessment_click_ratio,unique_resources,registered_late,unregistered_early,num_of_prev_attempts,imd_band_enc,education_enc,final_result,result_enc,gender,age_band,region,disability,studied_credits
75091,AAA,2013J,133,83,209,76,15,0.0,100,0,0,0,3,2,Pass,0,M,35-55,South West Region,N,60
77367,AAA,2013J,64,38,95,31,19,0.0,44,0,0,0,3,2,Pass,0,M,0-35,East Midlands Region,N,60
91265,AAA,2013J,39,26,140,101,10,0.0,60,0,0,0,0,3,Pass,0,M,0-35,North Western Region,N,60
94961,AAA,2013J,86,54,12,-74,214,0.0,26,0,1,0,7,1,Withdrawn,1,M,35-55,South Region,N,60
98094,AAA,2013J,256,160,136,-120,5,0.0,91,0,0,0,7,1,Pass,0,M,35-55,Wales,N,60
100893,AAA,2013J,37,5,49,12,19,0.0013440860215053765,47,0,0,0,2,2,Pass,0,M,0-35,Yorkshire Region,N,60
101781,AAA,2013J,119,514,310,191,1,0.0,99,0,0,0,8,1,Pass,0,M,35-55,South Region,N,60
102806,AAA,2013J,163,122,44,-119,2,0.0,75,0,0,0,3,2,Pass,0,M,0-35,North Western Region,N,60
102952,AAA,2013J,141,91,93,-48,23,0.0,69,0,0,0,6,3,Pass,0,M,0-35,London Region,N,60
104476,AAA,2013J,377,152,37,-340,11,0.0010466820180029307,106,0,0,0,4,4,Pass,0,M,35-55,Ireland,N,60
106247,AAA,2013J,0,11,36,36,119,0.002150537634408602,43,1,1,0,8,3,Withdrawn,1,M,35-55,South Region,N,60
106577,AAA,2013J,55,5,87,32,16,0.0,50,0,0,0,2,1,Pass,0,M,0-35,East Midlands Region,N,60
110175,AAA,2013J,15,98,33,18,27,0.0,68,0,0,0,8,3,Pass,0,M,35-55,East Anglian Region,N,60
111717,AAA,2013J,146,130,26,-120,20,0.0008536064874093043,89,0,0,0,9,3,Pass,0,F,35-55,East Anglian Region,N,60
113295,AAA,2013J,254,242,285,31,8,0.001125809175344779,92,0,0,0,6,1,Pass,0,M,35-55,Yorkshire Region,N,60
114017,AAA,2013J,55,210,50,-5,12,0.0,39,0,0,0,4,4,Pass,0,F,35-55,North Region,N,60
114999,AAA,2013J,33,48,28,-5,5,0.0014727540500736377,86,0,0,0,6,3,Pass,0,M,35-55,Yorkshire Region,N,60
116541,AAA,2013J,40,75,158,118,27,0.0,73,0,0,0,0,3,Pass,0,M,0-35,Wales,N,60
116692,AAA,2013J,35,67,45,10,41,0.0,64,0,0,0,7,2,Pass,0,M,35-55,East Anglian Region,N,60
118983,AAA,2013J,0,10,41,41,1,0.0,35,0,0,0,3,3,Pass,0,M,0-35,East Midlands Region,N,120
123044,AAA,2013J,246,88,133,-113,22,0.0009799118079372856,75,0,0,0,4,2,Pass,0,M,35-55,South Region,N,60
127582,AAA,2013J,21,106,20,-1,29,0.0,64,0,0,0,4,2,Pass,0,F,0-35,East Midlands Region,N,180
129955,AAA,2013J,74,63,64,-10,134,0.0009891196834817012,51,0,1,0,5,2,Withdrawn,1,M,0-35,West Midlands Region,N,60
132976,AAA,2013J,35,30,9,-26,27,0.0019230769230769232,47,0,0,0,8,1,Pass,0,F,35-55,East Anglian Region,N,120
134143,AAA,2013J,301,0,89,-212,1,0.0014641288433382138,85,0,0,0,9,2,Distinction,0,F,35-55,South East Region,N,60
135335,AAA,2013J,1,20,23,22,245,0.0,8,0,1,0,2,1,Withdrawn,1,F,0-35,East Anglian Region,N,180
135400,AAA,2013J,40,59,59,19,172,0.0,28,0,1,0,9,1,Withdrawn,1,F,35-55,South East Region,Y,60
137873,AAA,2013J,68,247,249,181,19,0.0,86,0,0,0,4,2,Pass,0,M,35-55,South West Region,N,60
141355,AAA,2013J,152,71,229,77,13,0.0,74,0,0,0,3,2,Pass,0,F,0-35,East Midlands Region,N,240
141377,AAA,2013J,1,5,1,0,160,0.0,21,0,1,0,9,2,Withdrawn,1,M,0-35,South West Region,N,345
142326,AAA,2013J,15,122,80,65,27,0.0,84,0,0,0,5,2,Pass,0,F,35-55,North Region,N,60
144801,AAA,2013J,166,231,380,214,2,0.000354295837023915,122,0,0,0,8,3,Pass,0,F,35-55,South Region,N,60
145130,AAA,2013J,39,7,131,92,8,0.0,48,0,0,0,6,3,Pass,0,M,0-35,South West Region,N,120
146188,AAA,2013J,10,26,43,33,14,0.0033500837520938024,53,0,0,0,2,2,Fail,1,F,0-35,West Midlands Region,Y,60
147756,AAA,2013J,61,107,93,32,50,0.0,40,0,0,0,6,1,Fail,1,M,0-35,North Region,N,120
147793,AAA,2013J,0,0,1,1,210,0.0,17,0,1,0,8,1,Withdrawn,1,F,0-35,North Region,N,90
148993,AAA,2013J,69,245,83,14,112,0.0,70,0,1,0,3,2,Withdrawn,1,F,35-55,North Western Region,Y,60
151358,AAA,2013J,5,22,10,5,27,0.0,31,0,0,0,8,2,Pass,0,F,0-35,London Region,N,150
155550,AAA,2013J,0,43,309,309,26,0.0,59,0,0,0,0,2,Pass,0,M,35-55,London Region,N,420
155854,AAA,2013J,253,116,152,-101,2,0.0004996252810392206,96,0,0,0,2,2,Pass,0,F,35-55,East Midlands Region,N,60
155984,AAA,2013J,17,55,201,184,82,0.0022026431718061676,44,0,1,0,7,1,Withdrawn,1,F,0-35,East Anglian Region,N,60
157568,AAA,2013J,60,74,166,106,28,0.0007117437722419929,62,0,0,0,9,2,Pass,0,F,0-35,South West Region,N,60
159954,AAA,2013J,112,141,73,-39,153,0.0016877637130801688,58,0,1,0,4,2,Withdrawn,1,M,35-55,East Midlands Region,N,60
164259,AAA,2013J,0,25,53,53,6,0.0,41,0,0,0,7,2,Pass,0,M,0-35,Scotland,N,60
167906,AAA,2013J,94,18,151,57,11,0.0,75,0,0,0,4,2,Pass,0,F,35-55,Yorkshire Region,N,60
168936,AAA,2013J,20,56,153,133,12,0.0,47,0,0,0,1,1,Pass,0,F,35-55,West Midlands Region,N,60
172112,AAA,2013J,67,37,138,71,6,0.0,84,0,0,0,4,3,Pass,0,M,35-55,Ireland,N,60
172797,AAA,2013J,0,55,45,45,1,0.0,85,0,0,0,4,2,Pass,0,F,35-55,Ireland,N,60
174782,AAA,2013J,310,271,275,-35,1,0.0004748338081671415,93,0,0,0,9,3,Pass,0,M,55<=,East Anglian Region,N,60
175392,AAA,2013J,165,283,233,68,3,0.0,117,0,0,0,4,3,Pass,0,M,35-55,North Region,N,60
175932,AAA,2013J,23,110,170,147,16,0.0,60,0,0,0,7,3,Pass,0,M,35-55,North Western Region,N,60
175991,AAA,2013J,1,5,86,85,27,0.0,17,0,0,0,8,2,Fail,1,F,0-35,North Western Region,N,180
180753,AAA,2013J,156,137,114,-42,6,0.0,83,0,0,0,3,2,Pass,0,M,0-35,South West Region,N,120
181316,AAA,2013J,19,86,200,181,203,0.0,37,0,1,0,8,2,Withdrawn,1,F,35-55,South West Region,N,120
183096,AAA,2013J,169,87,82,-87,27,0.0,83,0,0,0,6,2,Pass,0,F,0-35,South West Region,N,60
183947,AAA,2013J,49,81,73,24,16,0.0,69,0,0,0,1,2,Pass,0,M,0-35,London Region,N,180
184271,AAA,2013J,41,51,89,48,6,0.0007621951219512195,90,0,0,0,8,3,Pass,0,M,35-55,South West Region,N,170
185439,AAA,2013J,36,0,129,93,230,0.00936768149882904,36,0,0,0,1,3,Fail,1,M,0-35,London Region,N,120
186149,AAA,2013J,118,192,66,-52,2,0.005149812734082397,133,0,0,0,3,3,Pass,0,M,35-55,Scotland,N,60
187100,AAA,2013J,502,567,436,-66,4,0.0,97,0,0,0,5,2,Distinction,0,M,35-55,South East Region,N,60
188278,AAA,2013J,261,271,181,-80,209,0.0020920502092050207,41,0,1,0,7,2,Withdrawn,1,M,35-55,Yorkshire Region,N,120
189879,AAA,2013J,5,195,143,138,21,0.0006489292667099286,75,0,0,0,9,2,Pass,0,M,0-35,Scotland,N,120
192183,AAA,2013J,92,167,185,93,27,0.0,86,0,0,0,9,1,Pass,0,F,0-35,South West Region,N,60
195262,AAA,2013J,27,0,118,91,86,0.0005249343832020997,75,0,1,0,9,2,Withdrawn,1,M,0-35,London Region,N,60
200860,AAA,2013J,115,51,12,-103,17,0.0,42,0,0,0,5,1,Pass,0,M,35-55,London Region,N,60
202635,AAA,2013J,265,74,151,-114,126,0.005641748942172073,49,0,1,0,3,2,Withdrawn,1,F,0-35,Wales,N,60
205350,AAA,2013J,140,156,26,-114,1,0.0024024024024024023,106,0,0,0,8,3,Pass,0,M,35-55,South West Region,N,60
205719,AAA,2013J,17,79,124,107,54,0.0,35,0,0,0,4,2,Fail,1,M,0-35,East Anglian Region,Y,90
227499,AAA,2013J,192,63,259,67,26,0.0,86,0,0,0,1,2,Distinction,0,F,35-55,London Region,N,60
227517,AAA,2013J,119,52,238,119,7,0.0008298755186721991,59,0,0,0,4,3,Fail,1,M,0-35,Ireland,N,180
228082,AAA,2013J,5,34,31,26,26,0.0,24,0,0,0,6,3,Pass,0,M,0-35,London Region,N,60
228222,AAA,2013J,17,27,18,1,26,0.0,45,0,0,0,5,1,Pass,0,M,0-35,East Midlands Region,N,60
229179,AAA,2013J,37,58,40,3,25,0.0,45,0,0,0,2,2,Pass,0,M,0-35,West Midlands Region,N,60
229361,AAA,2013J,7,40,40,33,1,0.0,52,0,0,0,5,2,Pass,0,M,0-35,East Midlands Region,N,60
231554,AAA,2013J,31,98,189,158,20,0.0,67,0,0,0,4,2,Pass,0,M,0-35,London Region,N,240
235507,AAA,2013J,22,49,30,8,223,0.0,24,0,1,0,9,2,Withdrawn,1,M,0-35,Yorkshire Region,N,240
236284,AAA,2013J,0,0,132,132,27,0.0,56,1,0,0,9,4,Pass,0,M,0-35,Scotland,N,60
238007,AAA,2013J,100,96,85,-15,26,0.0,92,0,0,0,9,3,Pass,0,M,55<=,South Region,N,60
240712,AAA,2013J,0,7,41,41,54,0.0,33,0,0,0,8,3,Pass,0,M,0-35,London Region,N,80
240884,AAA,2013J,54,0,105,51,27,0.0,48,0,0,0,9,2,Pass,0,M,0-35,South Region,N,120
241649,AAA,2013J,170,90,38,-132,6,0.0,77,0,0,0,9,3,Pass,0,M,35-55,East Anglian Region,N,60
241729,AAA,2013J,52,98,86,34,9,0.0,77,0,0,0,6,3,Fail,1,F,35-55,East Midlands Region,N,60
242793,AAA,2013J,88,3,6,-82,8,0.0,82,0,0,0,2,3,Pass,0,M,35-55,London Region,N,60
246834,AAA,2013J,45,0,158,113,2,0.0,50,0,0,0,9,2,Pass,0,M,35-55,South West Region,N,60
248270,AAA,2013J,126,156,78,-48,4,0.0015236160487557136,64,0,0,0,2,1,Pass,0,M,0-35,North Western Region,N,90
255548,AAA,2013J,216,188,229,13,1,0.0,77,0,0,0,2,1,Pass,0,M,35-55,Wales,N,60
256815,AAA,2013J,8,0,0,-8,7,0.0,79,0,0,0,1,3,Pass,0,M,0-35,North Western Region,N,120
258392,AAA,2013J,26,61,111,85,29,0.001184834123222749,63,0,0,0,3,1,Pass,0,F,0-35,West Midlands Region,N,60
258894,AAA,2013J,110,90,337,227,14,0.0,85,0,0,0,7,1,Pass,0,F,35-55,East Anglian Region,N,60
260355,AAA,2013J,55,2,35,-20,106,0.0,35,0,1,0,8,2,Withdrawn,1,F,35-55,London Region,N,60
262011,AAA,2013J,149,126,38,-111,26,0.0009380863039399625,49,0,0,0,2,2,Pass,0,M,35-55,East Midlands Region,N,60
262934,AAA,2013J,76,242,118,42,11,0.0,71,0,0,0,3,2,Pass,0,F,35-55,North Western Region,N,60
268073,AAA,2013J,182,213,214,32,1,0.0,88,0,0,0,1,2,Fail,1,M,35-55,East Anglian Region,N,90
268733,AAA,2013J,41,8,0,-41,84,0.0,14,0,1,0,3,2,Withdrawn,1,M,0-35,East Anglian Region,N,180
271251,AAA,2013J,125,355,98,-27,3,0.0,93,0,0,0,8,2,Pass,0,M,35-55,Scotland,N,60
277880,AAA,2013J,112,289,431,319,92,0.000496031746031746,63,0,1,0,6,2,Withdrawn,1,F,0-35,South East Region,N,60
279572,AAA,2013J,123,14,65,-58,4,0.0,57,0,0,0,4,1,Distinction,0,M,0-35,London Region,N,60
281022,AAA,2013J,0,42,78,78,27,0.0,45,0,0,0,3,2,Pass,0,F,0-35,Scotland,N,150
281250,AAA,2013J,11,0,17,6,26,0.0,24,0,0,0,7,1,Fail,1,M,35-55,Wales,N,60
281589,AAA,2013J,0,24,0,0,136,0.0,12,0,0,0,3,3,Fail,1,M,0-35,North Western Region,N,60
282821,AAA,2013J,41,247,232,191,27,0.0,69,0,0,0,3,2,Pass,0,M,35-55,South West Region,N,60
286488,AAA,2013J,42,36,6,-36,24,0.0,76,0,0,0,9,2,Pass,0,M,35-55,South East Region,N,60
287548,AAA,2013J,23,61,56,33,28,0.002070393374741201,53,0,0,0,9,2,Pass,0,M,0-35,East Anglian Region,N,120
290201,AAA,2013J,181,210,88,-93,29,0.0005747126436781609,65,0,0,0,2,2,Pass,0,M,0-35,Wales,N,60
290757,AAA,2013J,41,19,70,29,24,0.0,37,0,0,0,3,2,Pass,0,M,0-35,North Western Region,N,60
291334,AAA,2013J,252,329,291,39,1,0.00019116803670426305,99,0,0,0,9,2,Distinction,0,M,35-55,South East Region,N,60
292923,AAA,2013J,0,0,0,0,269,0.0,0,0,1,0,9,2,Withdrawn,1,F,35-55,South East Region,N,180
293699,AAA,2013J,1,0,0,-1,26,0.0,35,0,0,0,7,2,Pass,0,M,0-35,East Midlands Region,N,120
294570,AAA,2013J,144,80,101,-43,5,0.0005633802816901409,85,0,0,0,9,3,Pass,0,M,55<=,South East Region,N,60
294594,AAA,2013J,35,58,38,3,3,0.0,52,0,0,0,9,2,Pass,0,M,0-35,South East Region,N,60
295741,AAA,2013J,33,71,105,72,13,0.0,50,0,0,0,4,2,Fail,1,M,35-55,South East Region,N,240
296332,AAA,2013J,97,128,124,27,2,0.0013940520446096654,91,0,0,0,9,4,Distinction,0,M,55<=,South Region,N,60
298696,AAA,2013J,55,35,54,-1,16,0.0,44,0,0,0,8,3,Pass,0,F,0-35,South East Region,N,60
300398,AAA,2013J,55,195,54,-1,5,0.0,55,0,0,0,3,2,Pass,0,M,35-55,West Midlands Region,N,60
302302,AAA,2013J,9,37,51,42,94,0.0,42,0,0,0,4,2,Fail,1,F,0-35,East Anglian Region,N,60
305152,AAA,2013J,0,26,76,76,70,0.0,17,0,0,0,7,2,Fail,1,M,0-35,North Western Region,N,60
305386,AAA,2013J,119,64,134,15,27,0.0,81,0,0,0,7,2,Pass,0,M,0-35,West Midlands Region,Y,120
305539,AAA,2013J,0,0,0,0,274,0.0,13,0,1,0,8,1,Withdrawn,1,F,0-35,Wales,N,120
306107,AAA,2013J,53,91,4,-49,26,0.0,63,0,0,0,5,2,Pass,0,M,35-55,West Midlands Region,N,120
306466,AAA,2013J,204,0,0,-204,1,0.000819672131147541,68,0,0,0,9,2,Pass,0,M,35-55,East Anglian Region,N,60
306897,AAA,2013J,282,206,130,-152,8,0.0,83,0,0,0,1,2,Pass,0,F,0-35,London Region,N,60
307061,AAA,2013J,62,55,51,-11,7,0.0,69,0,0,0,1,3,Pass,0,F,0-35,East Midlands Region,N,60
307866,AAA,2013J,96,120,126,30,17,0.0006775067750677507,74,0,0,0,7,2,Pass,0,M,0-35,West Midlands Region,N,60
311917,AAA,2013J,120,140,79,-41,2,0.0,84,0,0,0,6,2,Pass,0,M,55<=,South West Region,N,120
312537,AAA,2013J,984,776,598,-386,1,0.0002328830926874709,111,0,0,0,9,4,Distinction,0,M,55<=,South Region,N,60
312782,AAA,2013J,4,3,51,47,26,0.0,30,0,0,0,9,2,Pass,0,M,0-35,South Region,N,60
318933,AAA,2013J,97,72,26,-71,13,0.0,66,0,0,0,8,3,Pass,0,F,0-35,East Anglian Region,N,120
319047,AAA,2013J,96,261,239,143,1,0.00015176809834572774,104,0,0,0,5,2,Pass,0,F,0-35,East Midlands Region,N,60
321942,AAA,2013J,94,933,554,460,1,0.00019835366458395318,102,0,0,0,9,3,Pass,0,M,55<=,South Region,N,60
324002,AAA,2013J,159,171,119,-40,26,0.0,80,0,0,0,4,3,Pass,0,M,35-55,East Anglian Region,N,60
324084,AAA,2013J,71,55,94,23,6,0.0,81,0,0,0,1,2,Pass,0,F,35-55,South West Region,N,60
324282,AAA,2013J,0,3,24,24,1,0.0,23,0,0,0,9,2,Pass,0,M,0-35,South East Region,N,120
331358,AAA,2013J,363,217,266,-97,217,0.0008417508417508417,109,0,1,0,9,3,Withdrawn,1,F,35-55,South Region,N,60
332789,AAA,2013J,39,58,3,-36,1,0.0012084592145015106,69,0,0,0,6,2,Pass,0,F,35-55,East Anglian Region,N,60
333059,AAA,2013J,9,7,28,19,26,0.0,39,0,0,0,2,2,Pass,0,M,0-35,Scotland,N,120
333323,AAA,2013J,29,18,96,67,1,0.0,45,0,0,0,8,3,Pass,0,M,0-35,Scotland,N,60
334259,AAA,2013J,23,32,129,106,64,0.0,30,0,0,0,5,2,Fail,1,F,0-35,London Region,N,150
334333,AAA,2013J,17,15,62,45,206,0.0,23,0,1,0,0,2,Withdrawn,1,F,0-35,South West Region,Y,240
335764,AAA,2013J,205,334,133,-72,109,0.0,57,0,1,0,2,2,Withdrawn,1,F,0-35,South East Region,N,60
336207,AAA,2013J,143,135,135,-8,7,0.0,66,0,0,0,9,2,Pass,0,M,0-35,East Anglian Region,N,120
339972,AAA,2013J,57,13,15,-42,5,0.0,28,0,0,0,8,2,Pass,0,M,0-35,North Region,N,60
341872,AAA,2013J,0,0,0,0,43,0.0,25,1,0,0,4,1,Fail,1,M,0-35,East Anglian Region,N,180
342007,AAA,2013J,189,142,187,-2,218,0.0,37,0,1,0,7,3,Withdrawn,1,F,0-35,West Midlands Region,N,60
342514,AAA,2013J,38,115,87,49,9,0.0,74,0,0,0,5,1,Pass,0,M,55<=,Scotland,N,60
342972,AAA,2013J,45,78,12,-33,22,0.0011933174224343676,62,0,0,0,0,3,Pass,0,M,0-35,Yorkshire Region,N,60
343446,AAA,2013J,169,161,317,148,1,0.0,104,0,0,0,7,3,Pass,0,M,35-55,Ireland,N,120
344282,AAA,2013J,14,10,4,-10,27,0.0,14,0,0,0,1,2,Fail,1,M,0-35,Yorkshire Region,N,60
345068,AAA,2013J,5,4,93,88,26,0.0,50,0,0,0,6,2,Pass,0,M,0-35,East Anglian Region,Y,180
345357,AAA,2013J,98,91,46,-52,2,0.0,79,0,0,0,3,2,Distinction,0,M,0-35,Yorkshire Region,N,60
346025,AAA,2013J,5,76,53,48,1,0.0,34,0,0,0,5,2,Pass,0,M,0-35,East Anglian Region,N,120
346843,AAA,2013J,0,30,15,15,225,0.0,17,0,0,0,5,3,Fail,1,F,35-55,Scotland,N,120
350188,AAA,2013J,11,41,75,64,5,0.0,50,0,0,0,8,3,Pass,0,M,35-55,North Western Region,N,60
354858,AAA,2013J,54,0,0,-54,268,0.0,23,0,1,0,9,3,Withdrawn,1,M,35-55,South Region,N,120
357668,AAA,2013J,20,5,16,-4,98,0.0,23,0,0,0,1,2,Fail,1,M,0-35,Yorkshire Region,N,60
364177,AAA,2013J,91,37,34,-57,57,0.0,47,0,0,0,7,1,Fail,1,M,35-55,East Anglian Region,N,60
365244,AAA,2013J,76,109,36,-40,13,0.0,72,0,0,0,0,2,Pass,0,F,0-35,London Region,N,120
365642,AAA,2013J,127,91,80,-47,1,0.0,85,0,0,0,1,1,Pass,0,M,35-55,East Anglian Region,N,60
366483,AAA,2013J,91,77,68,-23,26,0.0,63,0,0,0,4,3,Pass,0,M,0-35,South West Region,N,60
368194,AAA,2013J,0,0,37,37,27,0.0,46,0,0,0,5,2,Pass,0,F,0-35,South West Region,Y,120
368824,AAA,2013J,0,19,0,0,22,0.0,27,0,0,0,5,3,Fail,1,M,35-55,Wales,N,120
368963,AAA,2013J,41,115,1,-40,33,0.0,65,0,0,0,0,1,Pass,0,M,0-35,Yorkshire Region,N,180
376439,AAA,2013J,167,181,126,-41,20,0.0,60,0,0,0,4,3,Distinction,0,M,0-35,North Region,N,60
376581,AAA,2013J,38,156,216,178,26,0.0,85,0,0,0,8,2,Pass,0,F,35-55,South Region,N,60
380953,AAA,2013J,79,74,34,-45,20,0.0009416195856873823,55,0,0,0,8,2,Pass,0,M,0-35,East Midlands Region,N,60
383254,AAA,2013J,41,19,46,5,35,0.0,38,0,0,0,9,2,Pass,0,M,0-35,Yorkshire Region,N,120
386924,AAA,2013J,6,7,16,10,41,0.0,26,0,0,0,4,1,Pass,0,M,0-35,Ireland,N,120
386952,AAA,2013J,85,15,61,-24,1,0.0,60,0,0,0,7,2,Pass,0,M,0-35,Yorkshire Region,N,120
388722,AAA,2013J,36,73,101,65,21,0.0,46,0,0,0,8,1,Pass,0,F,35-55,London Region,N,60
388885,AAA,2013J,35,34,64,29,2,0.0,59,0,0,0,9,2,Pass,0,M,35-55,South West Region,N,60
390890,AAA,2013J,78,92,68,-10,74,0.0,41,0,1,0,0,2,Withdrawn,1,M,0-35,Scotland,N,90
392756,AAA,2013J,1,74,46,45,27,0.0,47,0,0,0,7,2,Fail,1,M,0-35,West Midlands Region,N,120
392931,AAA,2013J,84,117,27,-57,1,0.0,81,0,0,0,5,2,Pass,0,F,35-55,North Western Region,N,120
393207,AAA,2013J,61,91,64,3,26,0.00228310502283105,57,0,0,0,6,2,Pass,0,M,0-35,North Western Region,N,60
396872,AAA,2013J,22,6,122,100,25,0.0,61,0,0,0,5,3,Pass,0,M,0-35,Yorkshire Region,N,180
398552,AAA,2013J,73,103,35,-38,8,0.0,85,0,0,0,9,1,Fail,1,M,0-35,Yorkshire Region,N,240
401869,AAA,2013J,61,37,220,159,16,0.0,60,0,0,0,8,1,Pass,0,F,0-35,South East Region,N,60
402470,AAA,2013J,61,83,132,71,6,0.0,59,0,0,0,5,1,Pass,0,M,35-55,South West Region,N,60
404804,AAA,2013J,25,9,159,134,25,0.0,44,0,0,0,2,1,Pass,0,M,35-55,Wales,N,120
405088,AAA,2013J,0,112,54,54,1,0.0,68,0,0,0,2,2,Pass,0,M,0-35,North Region,N,120
405961,AAA,2013J,0,0,0,0,269,0.0,0,0,1,0,9,2,Withdrawn,1,M,0-35,Scotland,Y,240
414117,AAA,2013J,0,75,124,124,3,0.0,60,0,0,0,5,2,Pass,0,M,0-35,Yorkshire Region,N,120
415969,AAA,2013J,221,75,324,103,113,0.0029433406916850625,58,0,1,0,0,3,Withdrawn,1,M,35-55,West Midlands Region,N,90
420087,AAA,2013J,0,0,102,102,101,0.0029239766081871343,48,0,0,0,4,2,Fail,1,M,0-35,Scotland,Y,60
429958,AAA,2013J,14,5,66,52,26,0.0,43,0,0,0,7,2,Pass,0,F,0-35,North Western Region,N,60
441018,AAA,2013J,13,6,99,86,31,0.0,53,0,0,0,7,2,Pass,0,F,0-35,South East Region,N,150
441888,AAA,2013J,64,25,62,-2,26,0.0,59,0,0,0,2,2,Pass,0,M,0-35,London Region,N,120
442442,AAA,2013J,92,149,158,66,106,0.0,54,0,1,0,8,3,Withdrawn,1,M,0-35,South West Region,N,120
444677,AAA,2013J,31,66,116,85,4,0.0,84,0,0,0,3,3,Distinction,0,M,0-35,London Region,N,60
470588,AAA,2013J,6,3,230,224,206,0.0,24,0,1,0,9,3,Withdrawn,1,M,35-55,South East Region,N,60
489455,AAA,2013J,166,71,102,-64,13,0.0,76,0,0,0,2,2,Pass,0,F,0-35,South West Region,N,60
494424,AAA,2013J,0,0,43,43,251,0.0,14,0,0,0,8,2,Fail,1,F,0-35,North Region,N,60
495284,AAA,2013J,70,86,117,47,10,0.0,57,0,0,0,8,3,Pass,0,M,0-35,South East Region,N,120
498857,AAA,2013J,45,43,51,6,27,0.001002004008016032,64,0,0,0,8,3,Pass,0,M,35-55,North Western Region,N,60
508818,AAA,2013J,66,51,349,283,26,0.0,41,0,0,0,4,2,Pass,0,M,0-35,London Region,N,120
512460,AAA,2013J,47,0,26,-21,35,0.0,55,0,0,0,9,3,Pass,0,M,0-35,South East Region,N,120
544103,AAA,2013J,137,246,306,169,7,0.001718213058419244,85,0,0,0,4,3,Pass,0,M,0-35,North Western Region,N,120
550383,AAA,2013J,79,96,72,-7,27,0.0032967032967032967,46,0,0,0,6,3,Pass,0,M,0-35,South East Region,N,60
564450,AAA,2013J,0,0,43,43,11,0.0,26,0,0,0,8,3,Fail,1,M,0-35,West Midlands Region,N,120
568601,AAA,2013J,0,72,119,119,146,0.0,29,0,1,0,3,3,Withdrawn,1,F,0-35,Scotland,N,60
572652,AAA,2013J,91,6,51,-40,29,0.0,59,0,0,0,7,3,Pass,0,M,0-35,West Midlands Region,N,120
580389,AAA,2013J,282,94,120,-162,26,0.0,62,0,0,0,9,3,Pass,0,M,0-35,Ireland,N,120
581129,AAA,2013J,0,14,74,74,53,0.0,25,0,0,0,3,2,Fail,1,M,0-35,East Anglian Region,N,120
588775,AAA,2013J,440,323,148,-292,1,0.00014150275930380644,96,0,0,0,9,2,Pass,0,M,0-35,South West Region,N,120
591774,AAA,2013J,12,44,24,12,15,0.0,80,0,0,0,9,4,Pass,0,M,35-55,South Region,N,60
