num_of_prev_attempts,studied_credits,clicks_week1,clicks_week2,clicks_week3,click_trend,module_presentation_length,days_since_last_click,unique_resources,registered_late,imd_band_enc,education_enc,age_enc,at_risk,gender_F,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,disability_N,disability_Y
0,60,37,5,49,12,268,18,47,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,182,514,310,128,268,0,99,0,8,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,105,172,52,-53,268,1,75,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,121,111,93,-28,268,22,69,0,6,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,364,168,52,-312,268,10,106,0,4,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,60,0,11,36,36,268,118,43,1,8,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,55,5,87,32,268,15,50,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,26,98,32,6,268,26,68,0,8,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,173,103,53,-120,268,19,89,0,9,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,205,250,245,40,268,7,92,0,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,3,247,65,62,268,11,39,0,2,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,43,36,50,7,268,4,86,0,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,72,95,166,94,268,26,73,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,60,35,67,45,10,268,40,64,0,7,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,120,0,10,41,41,268,0,35,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,246,88,133,-113,268,21,75,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,180,22,106,20,-2,268,28,64,0,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,134,69,72,-62,268,133,51,0,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,120,60,0,39,-21,268,26,47,0,8,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,307,6,70,-237,268,0,85,0,9,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,180,1,12,31,30,268,244,8,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,35,64,59,24,268,171,28,0,9,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,60,40,186,324,284,268,18,86,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,240,152,71,229,77,268,12,74,0,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,345,1,5,1,0,268,159,21,0,9,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,10,127,80,70,268,26,84,0,5,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,184,202,417,233,268,1,122,0,8,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,120,1,45,131,130,268,7,48,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,10,26,43,33,268,13,53,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,120,82,73,131,49,268,49,40,0,6,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,90,0,0,0,0,268,209,17,0,8,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,82,237,91,9,268,111,70,0,3,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,150,5,22,10,5,268,26,31,0,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,420,0,43,303,303,268,25,59,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,215,188,136,-79,268,1,96,0,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,17,58,201,184,268,81,44,0,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,50,75,175,125,268,27,62,0,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,110,143,73,-37,268,152,58,0,4,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,0,25,53,53,268,5,41,0,7,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,94,18,151,57,268,10,75,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,40,56,153,113,268,11,47,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,67,37,138,71,268,5,84,0,4,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,60,0,25,75,75,268,0,85,0,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,60,325,283,267,-58,268,0,93,0,9,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,228,306,240,12,268,2,117,0,2,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,41,110,170,129,268,15,60,0,7,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,180,1,0,91,90,268,26,17,0,8,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,120,144,139,117,-27,268,5,83,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,120,19,0,268,249,268,202,37,0,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,126,117,95,-31,268,26,83,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,180,49,81,73,24,268,15,69,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,170,112,48,91,-21,268,5,90,0,8,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,120,36,0,129,93,268,229,36,0,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,114,220,42,-72,268,1,133,0,3,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,557,547,457,-100,268,3,97,0,5,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,451,245,207,-244,268,208,41,0,7,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,120,5,195,123,118,268,20,75,0,9,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,129,157,189,60,268,26,86,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,48,0,118,70,268,85,75,0,9,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,37,129,12,-25,268,16,42,0,5,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,216,123,103,-113,268,125,49,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,60,140,134,48,-92,268,0,106,0,8,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,90,17,66,137,120,268,53,35,0,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,60,192,63,166,-26,268,25,86,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,180,133,52,238,105,268,6,59,0,4,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,60,5,34,31,26,268,25,24,0,6,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,7,44,18,11,268,25,45,0,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,37,6,92,55,268,24,45,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,30,24,56,26,268,0,52,0,5,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,240,24,35,259,235,268,19,67,0,4,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,240,12,24,66,54,268,222,24,0,9,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,0,0,132,132,268,26,56,1,9,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,100,93,80,-20,268,25,92,0,9,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,80,0,7,41,41,268,53,33,0,8,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,120,54,0,105,51,268,26,48,0,9,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,136,124,38,-98,268,5,77,0,9,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,29,81,79,50,268,8,77,0,6,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,89,8,9,-80,268,7,82,0,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,49,39,155,106,268,1,50,0,9,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,90,136,159,78,-58,268,3,64,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,196,154,282,86,268,0,77,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,120,8,0,0,-8,268,6,79,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,26,54,118,92,268,28,63,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,78,122,337,259,268,13,85,0,7,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,55,0,14,-41,268,105,35,0,8,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,43,221,41,-2,268,25,49,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,177,216,142,-35,268,10,71,0,3,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,90,182,213,214,32,268,0,88,0,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,180,41,8,0,-41,268,83,14,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,124,323,120,-4,268,2,93,0,8,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,120,247,473,353,268,91,63,0,6,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,113,29,65,-48,268,3,57,0,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,150,0,35,85,85,268,26,45,0,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,11,0,17,6,268,25,24,0,7,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,60,0,24,0,0,268,135,12,0,3,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,41,247,232,191,268,26,69,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,42,36,6,-36,268,23,76,0,9,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,23,56,61,38,268,27,53,0,9,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,161,230,88,-73,268,28,65,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,60,41,19,70,29,268,23,37,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,247,324,294,47,268,0,99,0,9,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,180,0,0,0,0,268,268,0,0,9,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,1,0,0,-1,268,25,35,0,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,143,81,49,-94,268,4,85,0,9,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,83,49,40,-43,268,2,52,0,9,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,240,48,50,126,78,268,12,50,0,4,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,108,128,124,16,268,1,91,0,9,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,55,35,54,-1,268,15,44,0,8,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,55,193,56,1,268,4,55,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,31,24,64,33,268,93,42,0,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,0,26,76,76,268,69,17,0,7,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,120,156,30,162,6,268,26,81,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,120,0,0,0,0,268,273,13,0,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,120,53,91,4,-49,268,25,63,0,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,202,7,0,-202,268,0,68,0,9,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,263,215,137,-126,268,7,83,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,25,92,42,17,268,6,69,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,96,105,141,45,268,16,74,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,120,114,184,62,-52,268,1,84,0,6,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,1030,760,625,-405,268,0,111,0,9,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,4,3,51,47,268,25,30,0,9,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,120,122,65,39,-83,268,12,66,0,8,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,103,194,293,190,268,0,104,0,5,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,64,840,660,596,268,0,102,0,9,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,154,114,203,49,268,25,80,0,4,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,62,84,54,-8,268,5,81,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,120,0,3,24,24,268,0,23,0,9,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,355,223,187,-168,268,216,109,0,9,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,39,58,3,-36,268,0,69,0,6,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,120,9,7,28,19,268,25,39,0,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,29,18,96,67,268,0,45,0,8,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,150,23,32,129,106,268,63,30,0,5,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,240,31,15,62,31,268,205,23,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,60,187,334,131,-56,268,108,57,0,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,144,135,135,-9,268,6,66,0,9,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,57,0,28,-29,268,4,28,0,8,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,180,0,0,0,0,268,42,25,1,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,147,142,229,82,268,217,37,0,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,38,115,87,49,268,8,74,0,5,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,45,66,24,-21,268,21,62,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,120,195,163,221,26,268,0,104,0,7,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,60,13,10,5,-8,268,26,14,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,180,5,4,93,88,268,25,50,0,6,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,60,122,104,46,-76,268,1,79,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,120,5,64,62,57,268,0,34,0,5,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,120,0,30,0,0,268,224,17,0,5,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,34,27,89,55,268,4,50,0,8,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,120,54,0,0,-54,268,267,23,0,9,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,20,0,21,1,268,97,23,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,91,25,46,-45,268,56,47,0,7,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,120,130,109,36,-94,268,12,72,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,143,134,87,-56,268,0,85,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,50,114,72,22,268,25,63,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,120,0,0,37,37,268,26,46,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,120,0,19,0,0,268,21,27,0,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,180,81,127,1,-80,268,32,65,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,144,204,126,-18,268,19,60,0,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,38,68,304,266,268,25,85,0,8,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,79,74,34,-45,268,19,55,0,8,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,120,41,19,46,5,268,34,38,0,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,120,6,7,16,10,268,40,26,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,120,95,14,62,-33,268,0,60,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,36,73,93,57,268,20,46,0,8,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,35,25,70,35,268,1,59,0,9,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,90,89,101,68,-21,268,73,41,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,120,2,11,109,107,268,26,47,0,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,120,78,123,15,-63,268,0,81,0,5,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,61,91,64,3,268,25,57,0,6,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,180,22,6,122,100,268,24,61,0,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,240,42,135,35,-7,268,7,85,0,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,60,61,37,220,159,268,15,60,0,8,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,157,58,168,11,268,5,59,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,120,25,0,154,129,268,24,44,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,120,0,93,73,73,268,0,68,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,240,0,0,0,0,268,268,0,0,9,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,120,0,63,136,136,268,2,60,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,90,142,154,324,182,268,112,58,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,6,0,102,96,268,100,48,0,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,60,14,5,66,52,268,25,43,0,7,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,150,13,6,99,86,268,30,53,0,7,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,64,2,85,21,268,25,59,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,120,67,154,191,124,268,105,54,0,8,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,31,66,116,85,268,3,84,0,3,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,60,6,3,230,224,268,205,24,0,9,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,158,71,110,-48,268,12,76,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,60,0,0,43,43,268,250,14,0,8,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,120,84,78,125,41,268,9,57,0,8,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,125,43,48,-77,268,26,64,0,8,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,120,107,50,350,243,268,25,41,0,4,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,120,47,0,26,-21,268,34,55,0,9,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,152,246,306,154,268,6,85,0,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,60,93,101,91,-2,268,26,46,0,6,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,120,0,0,43,43,268,10,26,0,8,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
